   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZIMBABWE

   Station: HARARE / BELVEDERE

   Coordinates:

   Latitude =17DEG50'S

   Longitude =31DEG01'E

   Elevation = 1472

   WMO Identifier: 67774

   Year 1990

   +------------------------------------------------------------------------+
   |  DATE |    JUL | F |    AUG | F |    SEP | F |    OCT | F |    NOV | F |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    13 |   1665 | 0 |   1576 | 0 |   2085 | 0 |   2388 | 0 |   2824 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    14 |   1650 | 0 |   1382 | 0 |   2005 | 0 |   2434 | 0 |   2747 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    15 |   1693 | 0 |   1979 | 0 |   1849 | 0 |   2556 | 0 |   1832 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    16 |   1658 | 0 |   1988 | 0 |   1439 | 0 |   2226 | 0 |   1589 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    17 |   1791 | 0 |   1769 | 0 |   2082 | 0 |   2183 | 0 |   1971 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    18 |   1770 | 0 |   2107 | 0 |   2018 | 0 |   2248 | 0 |   2648 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    19 |   1761 | 0 |   2112 | 0 |   1641 | 0 |   1570 | 0 |   2348 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    20 |   1626 | 0 |   2061 | 0 |   1909 | 0 |   1762 | 0 |   2795 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    21 |   1713 | 0 |   1815 | 0 |   1926 | 0 |   1462 | 0 |   1959 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    22 |   1439 | 0 |   2090 | 0 |   2589 | 0 |   2539 | 0 |   1524 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    23 |      - | 2 |   2060 | 0 |   2607 | 0 |   2656 | 0 |   1558 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    24 |      - | 2 |   2151 | 0 |   2569 | 0 |   2557 | 0 |   2009 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    25 |      - | 2 |   2135 | 0 |   2589 | 0 |   2322 | 0 |    989 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    26 |      - | 2 |   2212 | 0 |   2537 | 0 |   1982 | 0 |    848 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    27 |      - | 2 |   2115 | 0 |   2550 | 0 |   2291 | 0 |    846 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    28 |   1057 | 0 |   1841 | 0 |   2178 | 0 |   2580 | 0 |   3011 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    29 |   1712 | 0 |   2032 | 0 |   2121 | 0 |   2913 | 0 |   3005 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    30 |   1451 | 0 |   1900 | 0 |   1331 | 0 |   2883 | 0 |   3001 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    31 |   1585 | 0 |   1941 | 0 |      - | - |   2819 | 0 |      - | - |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |   SUM |  50408 | 1 |  58203 | 0 |  64772 | 0 |  71987 | 0 |  69387 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |  MEAN |   1626 | 1 |   1878 | 0 |   2159 | 0 |   2322 | 0 |   2313 | 0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
