   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MANIQUENIQUE

   Coordinates:

   Latitude =24DEG46'S

   Longitude =33DEG32'E

   Elevation = 13

   WMO Identifier: No WMO index

   Year 1985

   +------------------------------------------------------------------------+
   | DATE|   FEB|F|   MAR|F| APR|F|   MAY|F|   JUN|F|   JUL|F|  AUG|F| SEP|F|
   |   11|  2194|0|  2215|0|   -|-|  1440|0|  1432|0|  1394|0| 1465|0|1884|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   12|  2144|0|  1813|0|   -|-|   825|0|  1403|0|   444|0| 1612|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   13|  2696|0|  2190|0|   -|-|   218|0|  1365|0|   833|0| 1378|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   14|  2696|0|  2001|0|   -|-|   477|0|   699|0|  1118|0| 1658|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   15|  2525|0|  2215|0|   -|-|  1285|0|  1147|0|  1432|0| 1223|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   16|  2680|0|  1331|0|   -|-|  1419|0|  1260|0|  1386|0| 1306|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   17|  1591|0|  1147|0|   -|-|  1566|0|  1130|0|  1478|0| 1591|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   18|  2567|0|  1700|0|   -|-|  1411|0|  1206|0|   645|0| 1285|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   19|  2458|0|  2420|0|   -|-|  1478|0|  1319|0|  1378|0| 1595|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   20|  2772|0|  1754|0|   -|-|  1541|0|  1223|0|  1285|0| 1775|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   21|  2433|0|  2190|0|   -|-|  1478|0|  1373|0|  1495|0| 1541|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   22|  2600|0|  2223|0|   -|-|  1478|0|  1394|0|  1378|0| 1675|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   23|  2433|0|  2102|0|   -|-|  1424|0|   959|0|  1419|0| 1591|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   24|  2336|0|  2102|0|   -|-|  1231|0|   921|0|  1419|0| 1733|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   25|  2449|0|  2165|0|   -|-|  1394|0|  1185|0|  1378|0|  670|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   26|  2822|0|  2232|0|   -|-|   854|0|   624|0|  1486|0| 1574|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   27|  2508|0|  1721|0|   -|-|  1532|0|   980|0|   825|0| 1608|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   28|  2366|0|  2148|0|   -|-|  1470|0|  1185|0|  1231|0| 1449|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   29|     -|-|  2148|0|   -|-|  1378|0|   875|0|  1323|0| 1859|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   30|     -|-|  2320|0|   -|-|   858|0|  1084|0|  1503|0| 1771|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   31|     -|-|  1872|0|   -|-|  1457|0|     -|-|  1403|0| 1512|0|   -|-|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |  SUM| 64527|1| 60193|0|   -|-| 40513|0| 33678|0| 38898|0|45907|0|   -|2|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   | MEAN|  2305|1|  1942|0|   -|-|  1307|0|  1123|0|  1255|0| 1481|0|   -|2|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
